timestamp,track_id,event,zone,duration,frame
14.55,155,EXIT_ZONE,Kitchen,0.03,436
14.55,15,EXIT_ZONE,Dining,10.91,436
14.58,256,EXIT_ZONE,Kitchen,0.03,437
14.61,264,ENTER_ZONE,Kitchen,0.00,438
14.65,257,ENTER_ZONE,Kitchen,0.00,439
14.65,15,ENTER_ZONE,Dining,0.00,439
14.65,264,EXIT_ZONE,Kitchen,0.03,439
14.65,261,EXIT_ZONE,Kitchen,0.10,439
14.65,254,EXIT_ZONE,Kitchen,0.43,439
14.71,264,ENTER_ZONE,Kitchen,0.00,441
14.75,254,ENTER_ZONE,Kitchen,0.00,442
14.75,257,EXIT_ZONE,Kitchen,0.10,442
14.85,15,EXIT_ZONE,Dining,0.20,445
14.88,268,ENTER_ZONE,Dining,0.00,446
14.95,254,EXIT_ZONE,Kitchen,0.20,448
15.05,268,EXIT_ZONE,Dining,0.17,451
15.15,218,EXIT_ZONE,Kitchen,0.63,454
15.15,218,ENTER_ZONE,Dining,0.00,454
15.15,264,EXIT_ZONE,Kitchen,0.43,454
15.25,254,ENTER_ZONE,Kitchen,0.00,457
15.25,268,ENTER_ZONE,Dining,0.00,457
15.45,264,ENTER_ZONE,Kitchen,0.00,463
15.45,268,EXIT_ZONE,Dining,0.20,463
15.55,268,ENTER_ZONE,Dining,0.00,466
15.55,264,EXIT_ZONE,Kitchen,0.10,466
15.65,30,EXIT_ZONE,Kitchen,1.43,469
15.78,278,ENTER_ZONE,Kitchen,0.00,473
15.78,279,ENTER_ZONE,Kitchen,0.00,473
15.85,30,ENTER_ZONE,Kitchen,0.00,475
15.85,279,EXIT_ZONE,Kitchen,0.07,475
15.92,279,ENTER_ZONE,Kitchen,0.00,477
15.95,278,EXIT_ZONE,Kitchen,0.17,478
16.05,218,EXIT_ZONE,Dining,0.90,481
16.05,196,EXIT_ZONE,Kitchen,3.64,481
16.05,30,EXIT_ZONE,Kitchen,0.20,481
16.35,254,EXIT_ZONE,Kitchen,1.10,490
16.45,30,ENTER_ZONE,Kitchen,0.00,493
16.48,293,ENTER_ZONE,Kitchen,0.00,494
17.18,304,ENTER_ZONE,Waiting,0.00,515
17.25,304,EXIT_ZONE,Waiting,0.07,517
17.48,242,EXIT_ZONE,Kitchen,3.10,524
17.52,307,ENTER_ZONE,Kitchen,0.00,525
17.58,242,ENTER_ZONE,Kitchen,0.00,527
17.68,218,ENTER_ZONE,Dining,0.00,530
17.68,30,EXIT_ZONE,Kitchen,1.23,530
17.68,279,EXIT_ZONE,Kitchen,1.77,530
17.78,30,ENTER_ZONE,Kitchen,0.00,533
17.88,30,EXIT_ZONE,Kitchen,0.10,536
17.98,304,ENTER_ZONE,Waiting,0.00,539
18.05,304,EXIT_ZONE,Waiting,0.07,541
18.18,307,EXIT_ZONE,Kitchen,0.67,545
18.52,218,EXIT_ZONE,Dining,0.83,555
18.52,218,ENTER_ZONE,Kitchen,0.00,555
18.55,242,EXIT_ZONE,Kitchen,0.97,556
18.59,218,EXIT_ZONE,Kitchen,0.07,557
18.59,218,ENTER_ZONE,Dining,0.00,557
18.59,242,ENTER_ZONE,Kitchen,0.00,557
18.72,307,ENTER_ZONE,Kitchen,0.00,561
18.75,242,EXIT_ZONE,Kitchen,0.17,562
18.75,307,EXIT_ZONE,Kitchen,0.03,562
18.79,242,ENTER_ZONE,Kitchen,0.00,563
19.09,307,ENTER_ZONE,Kitchen,0.00,572
19.09,242,EXIT_ZONE,Kitchen,0.30,572
19.22,311,ENTER_ZONE,Kitchen,0.00,576
19.29,307,EXIT_ZONE,Kitchen,0.20,578
19.32,218,EXIT_ZONE,Dining,0.73,579
19.32,218,ENTER_ZONE,Kitchen,0.00,579
19.39,242,ENTER_ZONE,Kitchen,0.00,581
19.39,293,EXIT_ZONE,Kitchen,2.90,581
19.49,218,EXIT_ZONE,Kitchen,0.17,584
19.49,218,ENTER_ZONE,Dining,0.00,584
19.49,293,ENTER_ZONE,Kitchen,0.00,584
19.62,311,EXIT_ZONE,Kitchen,0.40,588
19.69,311,ENTER_ZONE,Kitchen,0.00,590
19.82,318,ENTER_ZONE,Waiting,0.00,594
19.89,242,EXIT_ZONE,Kitchen,0.50,596
19.89,318,EXIT_ZONE,Waiting,0.07,596
20.09,242,ENTER_ZONE,Kitchen,0.00,602
20.19,218,EXIT_ZONE,Dining,0.70,605
20.19,218,ENTER_ZONE,Kitchen,0.00,605
20.22,319,ENTER_ZONE,Dining,0.00,606
20.22,293,EXIT_ZONE,Kitchen,0.73,606
20.29,319,EXIT_ZONE,Dining,0.07,608
20.32,242,EXIT_ZONE,Kitchen,0.23,609
20.35,242,ENTER_ZONE,Kitchen,0.00,610
20.39,242,EXIT_ZONE,Kitchen,0.03,611
20.52,319,ENTER_ZONE,Dining,0.00,615
20.62,319,EXIT_ZONE,Dining,0.10,618
20.72,307,ENTER_ZONE,Kitchen,0.00,621
20.85,218,EXIT_ZONE,Kitchen,0.67,625
20.85,218,ENTER_ZONE,Dining,0.00,625
20.92,293,ENTER_ZONE,Kitchen,0.00,627
21.02,293,EXIT_ZONE,Kitchen,0.10,630
21.05,320,ENTER_ZONE,Waiting,0.00,631
21.05,293,ENTER_ZONE,Kitchen,0.00,631
21.12,307,EXIT_ZONE,Kitchen,0.40,633
21.12,132,EXIT_ZONE,Waiting,13.45,633
